I [../src/deptran/client_worker.cc:330] 2022-05-20 11:09:57.586 | wait for finish... n_ceased_cleints: 0,  n_issued: 1552005, n_done: 1551785, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:10:02.586 | wait for finish... n_ceased_cleints: 0,  n_issued: 1618079, n_done: 1617859, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:10:07.586 | wait for finish... n_ceased_cleints: 0,  n_issued: 1686189, n_done: 1685969, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:10:12.586 | wait for finish... n_ceased_cleints: 0,  n_issued: 1752975, n_done: 1752755, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:10:17.586 | wait for finish... n_ceased_cleints: 0,  n_issued: 1820140, n_done: 1819920, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:10:22.586 | wait for finish... n_ceased_cleints: 0,  n_issued: 1887642, n_done: 1887422, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:10:27.587 | wait for finish... n_ceased_cleints: 0,  n_issued: 1953908, n_done: 1953688, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:10:32.587 | wait for finish... n_ceased_cleints: 0,  n_issued: 2021257, n_done: 2021037, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:10:37.587 | wait for finish... n_ceased_cleints: 0,  n_issued: 2084848, n_done: 2084628, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:10:42.587 | wait for finish... n_ceased_cleints: 0,  n_issued: 2150628, n_done: 2150408, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:10:47.587 | wait for finish... n_ceased_cleints: 0,  n_issued: 2215817, n_done: 2215597, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:10:52.587 | wait for finish... n_ceased_cleints: 0,  n_issued: 2279715, n_done: 2279495, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:10:57.587 | wait for finish... n_ceased_cleints: 0,  n_issued: 2345990, n_done: 2345770, n_created_coordinator: 220
I [../src/deptran/s_main.cc:140] 2022-05-20 11:11:00.823 | wait_for_clients: wait for client threads to exit.
I [../src/deptran/client_worker.cc:330] 2022-05-20 11:11:02.587 | wait for finish... n_ceased_cleints: 0,  n_issued: 2418061, n_done: 2417841, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:317] 2022-05-20 11:11:03.588 | wait for all outstanding requests to finish.
I [../src/deptran/client_worker.cc:343] 2022-05-20 11:11:07.588 | Finish:
Total: 2426983, Commit: 2426983, Attempts: 0, Running for 180, Throughput: 13483.24

I [../src/deptran/client_worker.cc:348] 2022-05-20 11:11:07.588 | Work: wait_for_shutdown at client 5
