I [../src/deptran/client_worker.cc:330] 2022-05-27 07:34:14.528 | wait for finish... n_ceased_cleints: 0,  n_issued: 1328690, n_done: 1328470, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:34:19.528 | wait for finish... n_ceased_cleints: 0,  n_issued: 1385753, n_done: 1385533, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:34:24.528 | wait for finish... n_ceased_cleints: 0,  n_issued: 1443486, n_done: 1443266, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:34:29.528 | wait for finish... n_ceased_cleints: 0,  n_issued: 1502448, n_done: 1502228, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:34:34.528 | wait for finish... n_ceased_cleints: 0,  n_issued: 1561671, n_done: 1561451, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:34:39.529 | wait for finish... n_ceased_cleints: 0,  n_issued: 1620056, n_done: 1619836, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:34:44.529 | wait for finish... n_ceased_cleints: 0,  n_issued: 1678929, n_done: 1678709, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:34:49.529 | wait for finish... n_ceased_cleints: 0,  n_issued: 1738487, n_done: 1738267, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:34:54.529 | wait for finish... n_ceased_cleints: 0,  n_issued: 1797519, n_done: 1797299, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:34:59.529 | wait for finish... n_ceased_cleints: 0,  n_issued: 1856170, n_done: 1855950, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:35:04.529 | wait for finish... n_ceased_cleints: 0,  n_issued: 1906571, n_done: 1906351, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:35:09.529 | wait for finish... n_ceased_cleints: 0,  n_issued: 1964997, n_done: 1964777, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:35:14.529 | wait for finish... n_ceased_cleints: 0,  n_issued: 2024138, n_done: 2023918, n_created_coordinator: 220
I [../src/deptran/s_main.cc:140] 2022-05-27 07:35:18.599 | wait_for_clients: wait for client threads to exit.
I [../src/deptran/client_worker.cc:330] 2022-05-27 07:35:19.529 | wait for finish... n_ceased_cleints: 0,  n_issued: 2082674, n_done: 2082454, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:317] 2022-05-27 07:35:20.531 | wait for all outstanding requests to finish.
I [../src/deptran/client_worker.cc:343] 2022-05-27 07:35:24.530 | Finish:
Total: 2088676, Commit: 2088676, Attempts: 0, Running for 180, Throughput: 11603.76

I [../src/deptran/client_worker.cc:348] 2022-05-27 07:35:24.530 | Work: wait_for_shutdown at client 5
