I [../src/deptran/client_worker.cc:330] 2022-05-19 22:24:53.601 | wait for finish... n_ceased_cleints: 0,  n_issued: 1467949, n_done: 1467729, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-19 22:24:58.601 | wait for finish... n_ceased_cleints: 0,  n_issued: 1534651, n_done: 1534431, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-19 22:25:03.601 | wait for finish... n_ceased_cleints: 0,  n_issued: 1600123, n_done: 1599903, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-19 22:25:08.601 | wait for finish... n_ceased_cleints: 0,  n_issued: 1646081, n_done: 1645861, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-19 22:25:13.602 | wait for finish... n_ceased_cleints: 0,  n_issued: 1707554, n_done: 1707334, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-19 22:25:18.602 | wait for finish... n_ceased_cleints: 0,  n_issued: 1768356, n_done: 1768136, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-19 22:25:23.602 | wait for finish... n_ceased_cleints: 0,  n_issued: 1826049, n_done: 1825829, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-19 22:25:28.602 | wait for finish... n_ceased_cleints: 0,  n_issued: 1891111, n_done: 1890891, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-19 22:25:33.602 | wait for finish... n_ceased_cleints: 0,  n_issued: 1957868, n_done: 1957648, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-19 22:25:38.602 | wait for finish... n_ceased_cleints: 0,  n_issued: 2024823, n_done: 2024603, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-19 22:25:43.602 | wait for finish... n_ceased_cleints: 0,  n_issued: 2091353, n_done: 2091133, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-19 22:25:48.602 | wait for finish... n_ceased_cleints: 0,  n_issued: 2156819, n_done: 2156599, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:330] 2022-05-19 22:25:53.602 | wait for finish... n_ceased_cleints: 0,  n_issued: 2223803, n_done: 2223583, n_created_coordinator: 220
I [../src/deptran/s_main.cc:140] 2022-05-19 22:25:56.786 | wait_for_clients: wait for client threads to exit.
I [../src/deptran/client_worker.cc:330] 2022-05-19 22:25:58.602 | wait for finish... n_ceased_cleints: 0,  n_issued: 2291263, n_done: 2291043, n_created_coordinator: 220
I [../src/deptran/client_worker.cc:317] 2022-05-19 22:25:59.600 | wait for all outstanding requests to finish.
I [../src/deptran/client_worker.cc:343] 2022-05-19 22:26:03.603 | Finish:
Total: 2299972, Commit: 2299972, Attempts: 0, Running for 180, Throughput: 12777.62

I [../src/deptran/client_worker.cc:348] 2022-05-19 22:26:03.603 | Work: wait_for_shutdown at client 5
