I [../src/deptran/client_worker.cc:330] 2022-05-27 08:25:33.400 | wait for finish... n_ceased_cleints: 0,  n_issued: 2872191, n_done: 2872151, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 08:25:38.401 | wait for finish... n_ceased_cleints: 0,  n_issued: 2985207, n_done: 2985167, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 08:25:43.401 | wait for finish... n_ceased_cleints: 0,  n_issued: 3100517, n_done: 3100477, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 08:25:48.401 | wait for finish... n_ceased_cleints: 0,  n_issued: 3217315, n_done: 3217275, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 08:25:53.401 | wait for finish... n_ceased_cleints: 0,  n_issued: 3333334, n_done: 3333294, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 08:25:58.401 | wait for finish... n_ceased_cleints: 0,  n_issued: 3447864, n_done: 3447824, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 08:26:03.401 | wait for finish... n_ceased_cleints: 0,  n_issued: 3564537, n_done: 3564497, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 08:26:08.401 | wait for finish... n_ceased_cleints: 0,  n_issued: 3679164, n_done: 3679124, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 08:26:13.401 | wait for finish... n_ceased_cleints: 0,  n_issued: 3793562, n_done: 3793522, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 08:26:18.402 | wait for finish... n_ceased_cleints: 0,  n_issued: 3904099, n_done: 3904059, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 08:26:23.402 | wait for finish... n_ceased_cleints: 0,  n_issued: 4014956, n_done: 4014916, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-27 08:26:28.402 | wait for finish... n_ceased_cleints: 0,  n_issued: 4125883, n_done: 4125843, n_created_coordinator: 40
I [../src/deptran/s_main.cc:140] 2022-05-27 08:26:32.623 | wait_for_clients: wait for client threads to exit.
I [../src/deptran/client_worker.cc:330] 2022-05-27 08:26:33.402 | wait for finish... n_ceased_cleints: 0,  n_issued: 4237115, n_done: 4237075, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:317] 2022-05-27 08:26:34.363 | wait for all outstanding requests to finish.
I [../src/deptran/client_worker.cc:343] 2022-05-27 08:26:38.402 | Finish:
Total: 4251188, Commit: 4251188, Attempts: 0, Running for 180, Throughput: 23617.71

I [../src/deptran/client_worker.cc:348] 2022-05-27 08:26:38.402 | Work: wait_for_shutdown at client 3
