I [../src/deptran/client_worker.cc:330] 2022-05-19 23:04:26.872 | wait for finish... n_ceased_cleints: 0,  n_issued: 1270802, n_done: 1270790, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:04:31.872 | wait for finish... n_ceased_cleints: 0,  n_issued: 1328959, n_done: 1328947, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:04:36.872 | wait for finish... n_ceased_cleints: 0,  n_issued: 1382886, n_done: 1382874, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:04:41.872 | wait for finish... n_ceased_cleints: 0,  n_issued: 1438384, n_done: 1438372, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:04:46.872 | wait for finish... n_ceased_cleints: 0,  n_issued: 1492706, n_done: 1492694, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:04:51.872 | wait for finish... n_ceased_cleints: 0,  n_issued: 1546782, n_done: 1546770, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:04:56.872 | wait for finish... n_ceased_cleints: 0,  n_issued: 1604246, n_done: 1604234, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:05:01.872 | wait for finish... n_ceased_cleints: 0,  n_issued: 1659202, n_done: 1659190, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:05:06.873 | wait for finish... n_ceased_cleints: 0,  n_issued: 1715975, n_done: 1715963, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:05:11.873 | wait for finish... n_ceased_cleints: 0,  n_issued: 1773662, n_done: 1773650, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:05:16.873 | wait for finish... n_ceased_cleints: 0,  n_issued: 1829542, n_done: 1829530, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:05:21.874 | wait for finish... n_ceased_cleints: 0,  n_issued: 1883236, n_done: 1883224, n_created_coordinator: 12
I [../src/deptran/s_main.cc:140] 2022-05-19 23:05:25.278 | wait_for_clients: wait for client threads to exit.
I [../src/deptran/client_worker.cc:330] 2022-05-19 23:05:26.874 | wait for finish... n_ceased_cleints: 0,  n_issued: 1944252, n_done: 1944240, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:317] 2022-05-19 23:05:27.755 | wait for all outstanding requests to finish.
I [../src/deptran/client_worker.cc:343] 2022-05-19 23:05:31.874 | Finish:
Total: 1951663, Commit: 1951663, Attempts: 0, Running for 180, Throughput: 10842.57

I [../src/deptran/client_worker.cc:348] 2022-05-19 23:05:31.874 | Work: wait_for_shutdown at client 3
