# txn_name, cc, ab, benchmark, duration, clients, tps, attempts, commits, start_cnt, total_cnt, 50.0, 90.0, 99.0, 99.9, avg, max, min, zipf, experiment_id
# git sha: 55f0a07ed9993f59eb3123d5bdca6e4fd146d69c
PAYMENT, OCC, multi_paxos, tpca, 596.7338766029999, 1, 539.265512847846, 321798, 321798, 321798, 321798, 1.69677734375, 2.1337890625, 2.978759765625, 3.946044921875, 1.7524711740443997, 68.835205078125, 1.130615234375, 1, 1
PAYMENT, OCC, multi_paxos, tpca, 596.7338766029999, 1, 539.265512847846, 321798, 321798, 321798, 321798, 1.69677734375, 2.1337890625, 2.978759765625, 3.946044921875, 1.7524711740443997, 68.835205078125, 1.130615234375, 1, 1
