I [../src/deptran/client_worker.cc:330] 2022-05-27 16:13:11.549 | wait for finish... n_ceased_cleints: 0,  n_issued: 749447, n_done: 749435, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:13:16.549 | wait for finish... n_ceased_cleints: 0,  n_issued: 778254, n_done: 778242, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:13:21.549 | wait for finish... n_ceased_cleints: 0,  n_issued: 807926, n_done: 807914, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:13:26.549 | wait for finish... n_ceased_cleints: 0,  n_issued: 837196, n_done: 837184, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:13:31.550 | wait for finish... n_ceased_cleints: 0,  n_issued: 865642, n_done: 865630, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:13:36.550 | wait for finish... n_ceased_cleints: 0,  n_issued: 893569, n_done: 893557, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:13:41.550 | wait for finish... n_ceased_cleints: 0,  n_issued: 921826, n_done: 921814, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:13:46.550 | wait for finish... n_ceased_cleints: 0,  n_issued: 949424, n_done: 949412, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:13:51.550 | wait for finish... n_ceased_cleints: 0,  n_issued: 975964, n_done: 975952, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:13:56.550 | wait for finish... n_ceased_cleints: 0,  n_issued: 1002787, n_done: 1002775, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:14:01.550 | wait for finish... n_ceased_cleints: 0,  n_issued: 1030468, n_done: 1030456, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:14:06.550 | wait for finish... n_ceased_cleints: 0,  n_issued: 1066958, n_done: 1066946, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:14:11.551 | wait for finish... n_ceased_cleints: 0,  n_issued: 1106124, n_done: 1106112, n_created_coordinator: 12
I [../src/deptran/s_main.cc:140] 2022-05-27 16:14:14.969 | wait_for_clients: wait for client threads to exit.
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:14:16.551 | wait for finish... n_ceased_cleints: 0,  n_issued: 1145485, n_done: 1145473, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:317] 2022-05-27 16:14:17.539 | wait for all outstanding requests to finish.
I [../src/deptran/client_worker.cc:343] 2022-05-27 16:14:21.551 | Finish:
Total: 1150591, Commit: 1150591, Attempts: 0, Running for 180, Throughput: 6392.17

I [../src/deptran/client_worker.cc:348] 2022-05-27 16:14:21.551 | Work: wait_for_shutdown at client 3
