I [../src/deptran/client_worker.cc:330] 2022-05-27 16:29:24.018 | wait for finish... n_ceased_cleints: 0,  n_issued: 983886, n_done: 983874, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:29:29.018 | wait for finish... n_ceased_cleints: 0,  n_issued: 1025279, n_done: 1025267, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:29:34.018 | wait for finish... n_ceased_cleints: 0,  n_issued: 1066422, n_done: 1066410, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:29:39.018 | wait for finish... n_ceased_cleints: 0,  n_issued: 1108036, n_done: 1108024, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:29:44.018 | wait for finish... n_ceased_cleints: 0,  n_issued: 1149203, n_done: 1149191, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:29:49.019 | wait for finish... n_ceased_cleints: 0,  n_issued: 1190300, n_done: 1190288, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:29:54.019 | wait for finish... n_ceased_cleints: 0,  n_issued: 1230641, n_done: 1230629, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:29:59.019 | wait for finish... n_ceased_cleints: 0,  n_issued: 1270531, n_done: 1270519, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:30:04.019 | wait for finish... n_ceased_cleints: 0,  n_issued: 1310623, n_done: 1310611, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:30:09.019 | wait for finish... n_ceased_cleints: 0,  n_issued: 1351570, n_done: 1351558, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:30:14.019 | wait for finish... n_ceased_cleints: 0,  n_issued: 1393952, n_done: 1393940, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:30:19.019 | wait for finish... n_ceased_cleints: 0,  n_issued: 1435719, n_done: 1435707, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:30:24.019 | wait for finish... n_ceased_cleints: 0,  n_issued: 1475056, n_done: 1475044, n_created_coordinator: 12
I [../src/deptran/s_main.cc:140] 2022-05-27 16:30:27.464 | wait_for_clients: wait for client threads to exit.
I [../src/deptran/client_worker.cc:330] 2022-05-27 16:30:29.019 | wait for finish... n_ceased_cleints: 0,  n_issued: 1514761, n_done: 1514749, n_created_coordinator: 12
I [../src/deptran/client_worker.cc:317] 2022-05-27 16:30:29.867 | wait for all outstanding requests to finish.
I [../src/deptran/client_worker.cc:343] 2022-05-27 16:30:34.020 | Finish:
Total: 1519721, Commit: 1519721, Attempts: 0, Running for 180, Throughput: 8442.89

I [../src/deptran/client_worker.cc:348] 2022-05-27 16:30:34.020 | Work: wait_for_shutdown at client 3
