I [../src/deptran/client_worker.cc:330] 2022-05-25 23:49:23.714 | wait for finish... n_ceased_cleints: 0,  n_issued: 3479702, n_done: 3479662, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 23:49:28.714 | wait for finish... n_ceased_cleints: 0,  n_issued: 3621042, n_done: 3621002, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 23:49:33.714 | wait for finish... n_ceased_cleints: 0,  n_issued: 3762790, n_done: 3762750, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 23:49:38.714 | wait for finish... n_ceased_cleints: 0,  n_issued: 3902875, n_done: 3902835, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 23:49:43.714 | wait for finish... n_ceased_cleints: 0,  n_issued: 4043764, n_done: 4043724, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 23:49:48.714 | wait for finish... n_ceased_cleints: 0,  n_issued: 4182175, n_done: 4182135, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 23:49:53.714 | wait for finish... n_ceased_cleints: 0,  n_issued: 4322891, n_done: 4322851, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 23:49:58.714 | wait for finish... n_ceased_cleints: 0,  n_issued: 4463230, n_done: 4463190, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 23:50:03.714 | wait for finish... n_ceased_cleints: 0,  n_issued: 4604270, n_done: 4604230, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 23:50:08.714 | wait for finish... n_ceased_cleints: 0,  n_issued: 4741306, n_done: 4741266, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 23:50:13.715 | wait for finish... n_ceased_cleints: 0,  n_issued: 4875873, n_done: 4875833, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:330] 2022-05-25 23:50:18.715 | wait for finish... n_ceased_cleints: 0,  n_issued: 5014741, n_done: 5014701, n_created_coordinator: 40
I [../src/deptran/s_main.cc:140] 2022-05-25 23:50:23.160 | wait_for_clients: wait for client threads to exit.
I [../src/deptran/client_worker.cc:330] 2022-05-25 23:50:23.715 | wait for finish... n_ceased_cleints: 0,  n_issued: 5153610, n_done: 5153570, n_created_coordinator: 40
I [../src/deptran/client_worker.cc:317] 2022-05-25 23:50:24.655 | wait for all outstanding requests to finish.
I [../src/deptran/client_worker.cc:343] 2022-05-25 23:50:28.715 | Finish:
Total: 5172001, Commit: 5172001, Attempts: 0, Running for 180, Throughput: 28733.34

I [../src/deptran/client_worker.cc:348] 2022-05-25 23:50:28.715 | Work: wait_for_shutdown at client 3
