I [../src/deptran/client_worker.cc:330] 2022-05-27 14:49:09.077 | wait for finish... n_ceased_cleints: 0,  n_issued: 1103672, n_done: 1103472, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:49:14.077 | wait for finish... n_ceased_cleints: 0,  n_issued: 1151549, n_done: 1151349, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:49:19.077 | wait for finish... n_ceased_cleints: 0,  n_issued: 1198930, n_done: 1198730, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:49:24.078 | wait for finish... n_ceased_cleints: 0,  n_issued: 1246966, n_done: 1246766, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:49:29.078 | wait for finish... n_ceased_cleints: 0,  n_issued: 1294771, n_done: 1294571, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:49:34.078 | wait for finish... n_ceased_cleints: 0,  n_issued: 1341665, n_done: 1341465, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:49:39.078 | wait for finish... n_ceased_cleints: 0,  n_issued: 1381232, n_done: 1381032, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:49:44.078 | wait for finish... n_ceased_cleints: 0,  n_issued: 1423202, n_done: 1423002, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:49:49.078 | wait for finish... n_ceased_cleints: 0,  n_issued: 1468745, n_done: 1468545, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:49:54.078 | wait for finish... n_ceased_cleints: 0,  n_issued: 1516969, n_done: 1516769, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:49:59.078 | wait for finish... n_ceased_cleints: 0,  n_issued: 1566248, n_done: 1566048, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:50:04.079 | wait for finish... n_ceased_cleints: 0,  n_issued: 1614970, n_done: 1614770, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:50:09.079 | wait for finish... n_ceased_cleints: 0,  n_issued: 1663878, n_done: 1663678, n_created_coordinator: 200
I [../src/deptran/s_main.cc:140] 2022-05-27 14:50:12.509 | wait_for_clients: wait for client threads to exit.
I [../src/deptran/client_worker.cc:330] 2022-05-27 14:50:14.079 | wait for finish... n_ceased_cleints: 0,  n_issued: 1712814, n_done: 1712614, n_created_coordinator: 200
I [../src/deptran/client_worker.cc:317] 2022-05-27 14:50:15.083 | wait for all outstanding requests to finish.
I [../src/deptran/client_worker.cc:343] 2022-05-27 14:50:19.079 | Finish:
Total: 1718537, Commit: 1718537, Attempts: 0, Running for 180, Throughput: 9547.43

I [../src/deptran/client_worker.cc:348] 2022-05-27 14:50:19.079 | Work: wait_for_shutdown at client 3
